,Zip Code,GO Highest Offense Desc,UCR Description
114,78704.0,AUTO THEFT                    ,Auto Theft
115,78701.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
116,78704.0,AUTO THEFT                    ,Auto Theft
117,78747.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
118,78753.0,BURGLARY OF RESIDENCE         ,Burglary
119,78702.0,THEFT                         ,Theft
120,78745.0,BURGLARY OF RESIDENCE         ,Burglary
121,78741.0,BURGLARY OF RESIDENCE         ,Burglary
122,78758.0,AUTO THEFT                    ,Auto Theft
123,78757.0,THEFT BY SHOPLIFTING          ,Theft
124,78748.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
125,78704.0,RAPE                          ,Rape
126,78752.0,BURGLARY OF VEHICLE           ,Theft
127,78701.0,BURGLARY OF VEHICLE           ,Theft
128,78704.0,BURGLARY OF VEHICLE           ,Theft
129,78750.0,BURGLARY OF VEHICLE           ,Theft
130,78704.0,BURGLARY OF VEHICLE           ,Theft
131,78758.0,THEFT                         ,Theft
132,78745.0,THEFT                         ,Theft
133,78701.0,BURGLARY OF VEHICLE           ,Theft
134,78719.0,THEFT                         ,Theft
135,78744.0,BURGLARY OF VEHICLE           ,Theft
136,78753.0,BURGLARY OF VEHICLE           ,Theft
137,78704.0,THEFT                         ,Theft
138,78701.0,THEFT                         ,Theft
139,78759.0,BURGLARY OF VEHICLE           ,Theft
140,78704.0,THEFT                         ,Theft
141,78758.0,THEFT                         ,Theft
142,78741.0,BURGLARY OF VEHICLE           ,Theft
143,78703.0,THEFT OF LICENSE PLATE        ,Theft
144,78758.0,THEFT                         ,Theft
145,78756.0,THEFT                         ,Theft
146,78753.0,THEFT OF LICENSE PLATE        ,Theft
147,78701.0,THEFT                         ,Theft
148,78745.0,THEFT                         ,Theft
149,78736.0,BURGLARY OF VEHICLE           ,Theft
150,78744.0,THEFT OF BICYCLE              ,Theft
151,78701.0,THEFT BY SHOPLIFTING          ,Theft
152,78702.0,THEFT                         ,Theft
153,78701.0,THEFT                         ,Theft
154,78741.0,THEFT OF BICYCLE              ,Theft
155,78703.0,BURGLARY OF VEHICLE           ,Theft
156,78701.0,BURGLARY OF VEHICLE           ,Theft
157,78704.0,THEFT OF BICYCLE              ,Theft
158,78703.0,THEFT                         ,Theft
159,78701.0,THEFT                         ,Theft
160,78752.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
161,78704.0,THEFT                         ,Theft
162,78753.0,AGG ASSAULT                   ,Agg Assault
163,78702.0,AGG ASSAULT                   ,Agg Assault
164,78741.0,BURGLARY OF VEHICLE           ,Theft
165,78744.0,AGG ASSAULT                   ,Agg Assault
166,78758.0,THEFT                         ,Theft
167,78752.0,THEFT                         ,Theft
168,78723.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
169,78753.0,THEFT                         ,Theft
170,78705.0,THEFT                         ,Theft
171,78724.0,BURG NON RESIDENCE SHEDS      ,Burglary
172,78758.0,AUTO THEFT                    ,Auto Theft
173,78744.0,AUTO THEFT                    ,Auto Theft
174,78741.0,AUTO THEFT                    ,Auto Theft
175,78753.0,THEFT                         ,Theft
176,78745.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
177,78741.0,BURGLARY NON RESIDENCE        ,Burglary
178,78702.0,AUTO THEFT                    ,Auto Theft
