,Zip Code,GO Highest Offense Desc,UCR Description
0,"78,753",AGG ROBBERY/DEADLY WEAPON     ,Robbery
1,"78,723",ROBBERY BY ASSAULT            ,Robbery
2,"78,702",ROBBERY BY THREAT             ,Robbery
3,"78,723",AGG ROBBERY/DEADLY WEAPON     ,Robbery
4,"78,702",AGG ROBBERY/DEADLY WEAPON     ,Robbery
5,"78,722",ROBBERY BY ASSAULT            ,Robbery
6,"78,701",ROBBERY BY ASSAULT            ,Robbery
7,"78,753",ROBBERY BY THREAT             ,Robbery
8,"78,741",AGG ROBBERY/DEADLY WEAPON     ,Robbery
9,"78,701",ROBBERY BY ASSAULT            ,Robbery
10,"78,744",AGG ROBBERY/DEADLY WEAPON     ,Robbery
11,"78,752",ROBBERY BY ASSAULT            ,Robbery
12,"78,702",ROBBERY BY ASSAULT            ,Robbery
13,"78,701",AGG ROBBERY/DEADLY WEAPON     ,Robbery
14,"78,617",ROBBERY BY ASSAULT            ,Robbery
15,"78,702",ROBBERY BY ASSAULT            ,Robbery
16,"78,751",AGG ROBBERY/DEADLY WEAPON     ,Robbery
17,"78,721",ROBBERY BY THREAT             ,Robbery
18,"78,741",ROBBERY BY ASSAULT            ,Robbery
19,"78,701",ROBBERY BY ASSAULT            ,Robbery
20,"78,751",ROBBERY BY ASSAULT            ,Robbery
21,"78,705",AGG ROBBERY/DEADLY WEAPON     ,Robbery
22,"78,701",ROBBERY BY ASSAULT            ,Robbery
23,"78,701",ROBBERY BY ASSAULT            ,Robbery
24,"78,704",AGG ROBBERY/DEADLY WEAPON     ,Robbery
25,"78,723",ROBBERY BY THREAT             ,Robbery
26,"78,748",AGG ROBBERY/DEADLY WEAPON     ,Robbery
27,"78,704",ROBBERY BY ASSAULT            ,Robbery
28,"78,752",AGG ROBBERY/DEADLY WEAPON     ,Robbery
29,"78,745",ROBBERY BY ASSAULT            ,Robbery
30,"78,701",ROBBERY BY ASSAULT            ,Robbery
31,"78,704",ROBBERY BY ASSAULT            ,Robbery
32,"78,751",ROBBERY BY ASSAULT            ,Robbery
33,"78,753",ROBBERY BY THREAT             ,Robbery
34,"78,758",AGG ROBBERY/DEADLY WEAPON     ,Robbery
35,"78,741",AGG ROBBERY/DEADLY WEAPON     ,Robbery
36,"78,753",ROBBERY BY ASSAULT            ,Robbery
37,"78,617",AGG ROBBERY/DEADLY WEAPON     ,Robbery
38,"78,702",ROBBERY BY ASSAULT            ,Robbery
39,"78,741",ROBBERY BY ASSAULT            ,Robbery
40,"78,752",ROBBERY BY ASSAULT            ,Robbery
41,"78,758",AGG ROBBERY/DEADLY WEAPON     ,Robbery
42,"78,745",ROBBERY BY ASSAULT            ,Robbery
43,"78,753",ROBBERY BY ASSAULT            ,Robbery
44,"78,750",AGG ROBBERY/DEADLY WEAPON     ,Robbery
45,"78,723",AGG ROBBERY BY ASSAULT        ,Robbery
46,"78,702",ROBBERY BY ASSAULT            ,Robbery
47,"78,753",ROBBERY BY ASSAULT            ,Robbery
48,,AGG ROBBERY/DEADLY WEAPON     ,Robbery
49,"78,758",AGG ROBBERY/DEADLY WEAPON     ,Robbery
50,"78,753",ROBBERY BY ASSAULT            ,Robbery
51,"78,752",ROBBERY BY THREAT             ,Robbery
52,"78,747",ROBBERY BY ASSAULT            ,Robbery
53,"78,741",ROBBERY BY ASSAULT            ,Robbery
54,"78,727",ROBBERY BY THREAT             ,Robbery
55,"78,723",ROBBERY BY THREAT             ,Robbery
56,"78,702",AGG ROBBERY/DEADLY WEAPON     ,Robbery
